Site,Date,Month,Year,Pair,Plot,Treatment,Entomobryidae,Hypogastruidae,Isotomidae,Onychuridae,Smithuridae,Tomoceridae,Araneae,Chilopoda,Opiliones,Pseudoscorpinada,Mesostigmata,Orbatida,Prostigmata,Astigmata,Carabidae,Hyphae,Garlic_Mustard,Bare_Ground,Litter_Layer,Moss,Course_Woody_Debris,Herbaceous,Shrub,Trees,GM_Stem_Number,Fungivores,Predators
Greene Valley,6-Jul,July,2015,33,66,Uninvaded,0,1,2,4,0,0,0,0,0,0,3,0,7,0,0,0.98,1,1,2,1,2,6,1,1,0,7,10
Greene Valley,31-Jul,August,2015,33,66,Uninvaded,3,5,0,0,1,2,0,0,0,2,7,6,2,0,0,0,1,1,2,1,2,6,1,1,0,17,9
Greene Valley,6-Jul,July,2015,34,68,Uninvaded,0,0,0,0,0,1,0,0,0,1,6,9,0,0,0,0,1,1,4,1,4,4,3,1,0,10,6
Greene Valley,31-Jul,August,2015,34,68,Uninvaded,1,0,0,0,0,0,0,0,0,0,2,4,1,0,0,1.47,1,1,4,1,4,4,3,1,0,5,3
Greene Valley,6-Jul,July,2015,35,70,Uninvaded,0,0,3,4,1,0,0,0,0,1,6,2,1,0,0,0.33,1,1,4,1,1,6,1,1,0,10,7
Greene Valley,31-Jul,August,2015,35,70,Uninvaded,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.99,1,1,4,1,1,6,1,1,0,1,0
Nippersink,24-Jun,July,2015,36,72,Uninvaded,1,0,1,0,2,0,0,0,0,0,2,1,1,0,0,0.98,1,3,1,1,4,4,1,1,0,5,3
Nippersink,4-Aug,August,2015,36,72,Uninvaded,0,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,3,1,1,4,4,1,1,0,6,1
Nippersink,24-Jun,July,2015,37,74,Uninvaded,3,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,7,1,1,0,6,2
Nippersink,4-Aug,August,2015,37,74,Uninvaded,2,0,1,0,4,0,1,0,0,0,0,1,0,0,0,1.48,1,1,1,1,1,7,1,1,0,8,0
Nippersink,24-Jun,July,2015,38,76,Uninvaded,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0.49,1,1,1,1,1,7,1,1,0,3,3
Nippersink,4-Aug,August,2015,38,76,Uninvaded,0,0,0,0,5,0,0,0,0,0,1,3,0,0,0,0,1,1,1,1,1,7,1,1,0,8,1
Nippersink,24-Jun,July,2015,39,78,Uninvaded,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,7,1,1,0,3,2
Nippersink,4-Aug,August,2015,39,78,Uninvaded,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.47,1,1,1,1,1,7,1,1,0,2,1
Nippersink,24-Jun,July,2015,40,80,Uninvaded,0,0,1,0,5,0,0,0,0,0,2,1,1,0,0,1.48,1,1,1,1,1,7,1,1,0,7,3
Nippersink,4-Aug,August,2015,40,80,Uninvaded,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2.44,1,1,1,1,1,7,1,1,0,4,1
Pioneer Rd,14-Jul,July,2015,41,82,Uninvaded,0,2,0,1,4,1,0,0,0,0,5,6,1,0,0,1.97,1,3,3,1,2,4,1,1,0,14,6
Pioneer Rd,4-Aug,August,2015,41,82,Uninvaded,1,0,0,0,0,0,9,0,0,0,0,3,0,0,0,4.43,1,3,3,1,2,4,1,1,0,4,0
Pioneer Rd,14-Jul,July,2015,42,84,Uninvaded,6,2,25,1,2,0,0,0,0,0,0,0,0,0,0,0.98,1,1,1,1,1,7,1,1,0,36,0
Pioneer Rd,4-Aug,August,2015,42,84,Uninvaded,9,0,0,3,0,0,1,0,0,0,1,3,0,0,0,0.97,1,1,1,1,1,7,1,1,0,15,1
Pioneer Rd,14-Jul,July,2015,43,86,Uninvaded,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1.96,1,1,1,1,1,7,1,1,0,3,1
Pioneer Rd,4-Aug,August,2015,43,86,Uninvaded,10,0,12,0,2,0,0,0,0,0,1,1,1,0,0,1.01,1,1,1,1,1,7,1,1,0,25,2
Pioneer Rd,14-Jul,July,2015,44,88,Uninvaded,0,0,0,0,0,0,0,0,0,0,6,16,2,0,0,0,1,4,2,1,3,3,1,1,0,16,8
Pioneer Rd,4-Aug,August,2015,44,88,Uninvaded,4,3,0,1,0,0,0,0,0,0,5,2,1,0,0,1.45,1,4,2,1,3,3,1,1,0,10,6
Pioneer Rd,14-Jul,July,2015,45,90,Uninvaded,0,1,0,0,0,0,0,0,0,0,11,1,7,0,0,0.49,1,1,1,1,1,7,1,1,0,2,18
Pioneer Rd,4-Aug,August,2015,45,90,Uninvaded,5,0,1,3,0,0,0,0,0,0,5,4,1,0,0,2.43,1,1,1,1,1,7,1,1,0,13,6
West Campus,1-Jul,July,2015,46,92,Uninvaded,5,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0.98,1,1,4,1,1,5,1,1,0,11,0
West Campus,7-Aug,August,2015,46,92,Uninvaded,3,0,0,1,0,0,1,0,0,0,0,7,0,0,0,1.93,1,1,4,1,1,5,1,1,0,11,0
West Campus,1-Jul,July,2015,47,94,Uninvaded,17,0,1,1,0,0,0,0,0,0,0,6,0,1,0,2.96,1,1,3,1,1,6,1,1,0,25,0
West Campus,7-Aug,August,2015,47,94,Uninvaded,2,0,3,0,0,1,0,0,0,0,0,7,0,0,0,6.87,1,1,3,1,1,6,1,1,0,13,0
West Campus,1-Jul,July,2015,48,96,Uninvaded,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1.48,1,1,4,1,1,5,1,1,0,2,1
West Campus,7-Aug,August,2015,48,96,Uninvaded,2,0,0,2,0,0,0,0,0,0,1,11,0,0,0,10.34,1,1,4,1,1,5,1,1,0,15,1
West Campus,1-Jul,July,2015,49,98,Uninvaded,0,0,3,3,0,0,0,0,0,0,6,22,3,0,0,1.47,1,1,3,1,1,5,3,1,0,28,9
West Campus,7-Aug,August,2015,49,98,Uninvaded,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,1.46,1,1,3,1,1,5,3,1,0,11,0
West Campus,1-Jul,July,2015,50,100,Uninvaded,1,0,3,1,0,0,0,0,0,0,3,7,2,0,0,2.43,1,1,4,1,1,5,1,1,0,12,5
West Campus,7-Aug,August,2015,50,100,Uninvaded,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1.94,1,1,4,1,1,5,1,1,0,6,0
